MOLECULE_NAME,y_actual,y_pred
306-388-01,3.33,3.3526209320310336
306-389-01,3.62,3.607395089830332
306-390-01,3.67,3.6807331016546034
306-391-01,3.43,3.4126789834335227
306-392-01,2.43,2.4254202520067043
306-395-01,3.11,3.0796328819325596
306-396-01,2.98,2.993372221976032
306-397-03,3.37,3.3570367298420405
306-398-01,3.27,3.3001634049283357
306-399-02,2.58,2.5567815381045467
306-401-01,3.08,3.0965711096142536
306-402-01,3.71,3.710857369433311
306-403-01,3.17,3.189214371909132
306-404-01,3.8,3.803581397674895
306-408-01,3.28,2.837654383208038
306-410-01,3.26,2.9138075586206433
306-411-01,3.41,3.38906947216083
306-412-01,3.8,3.777095580387939
306-416-01,2.54,2.536267260038716
306-417-01,2.95,2.959101610342702
306-421-01,2.82,2.800726908210592
306-422-01,3.37,3.3709545159873966
306-423-01,3.37,3.3746371589776674
306-428-02,2.52,2.4958077337734954
306-431-02,3.38,3.3828896499015464
306-432-01,3.22,3.1781691773570007
306-435-01,3.57,3.5547832890165263
306-439-01,2.3,2.27887756079697
306-440-01,2.69,2.700747750206805
306-602-01,1.64,1.6308801465825318
306-610-01,2.97,2.9350134932839924
306-611-01,2.53,2.5295377758814492
306-612-01,3.24,3.2201003881246586
306-612-02,2.42,2.4286478790383077
306-619-01,2.9,2.8742849744695733
306-622-01,1.13,1.0136828284259636
306-656-01,0.97,1.1822507717673876
306-664-01,1.94,2.109980331806892
306-669-01,1.41,1.4251520732771321
306-670-01,2.81,2.770940198368211
306-900-OE-01,3.38,3.3669836633181074
307-002-07,0.83,1.5622315573325953
307-003-09,3.0,2.995472482176929
307-004-07,0.78,0.7915078836896128
307-004-09,1.88,1.8623690183730064
307-007-06,3.56,3.546924078000137
307-008-06,4.19,4.192916667610033
307-010-01,3.67,3.7007139343271276
307-011-03,2.33,2.324756143341748
307-012-03,2.87,3.1946911045391655
307-013-03,2.25,2.847678128436584
307-014-03,3.1,3.6020600921226045
307-015-03,2.64,2.6594934312799916
307-016-03,2.34,2.3749093444265252
307-017-02,3.52,3.5180471472952104
307-018-01,2.24,2.2367716825277726
307-020-01,1.99,1.9981921143618222
307-021-03,2.11,2.9855571550406417
307-022-03,2.43,2.440271029669136
307-026-01,3.47,3.501755308394457
307-027-03,2.11,2.9685441969079065
307-028-03,4.7,4.6959495572054895
307-029-03,3.97,3.9524569134938146
307-030-01,4.43,4.431273428254473
307-031-01,4.42,4.402701809350431
307-032-02,4.0,3.9753227896933967
307-034-01,3.89,3.8578508543778813
307-035-01,3.48,3.4899107312498865
307-036-01,3.35,3.352839326098486
307-037-01,2.7,2.723935321576153
307-038-01,1.94,1.9188797569507385
307-039-01,3.52,3.545583514610907
307-040-01,4.63,4.613342663067967
307-041-01,2.32,2.622518503497
307-042-03,4.14,4.13057117425298
307-045-01,3.33,3.3214398121766506
307-046-01,2.73,2.736092122034771
307-047-01,4.72,4.702673824921366
307-048-01,4.4,4.356243631427452
307-049-01,3.28,3.2531099302694053
307-050-01,1.97,2.5166633135736065
307-051-01,3.48,3.460434666693168
307-058-01,4.29,3.201050510529451
307-059-01,4.57,3.7729352806197785
307-060-01,4.79,4.546903915834004
307-061-01,4.45,3.7573838108585145
307-062-01,4.35,4.220705723416068
307-063-01,3.47,3.4729103370187606
307-064-01,3.55,3.58203620477948
307-066-01,3.86,3.8524623342846533
307-067-01,4.61,4.579286543159853
307-068-01,2.75,2.793238741402985
307-069-01,3.84,3.8170002996914465
307-071-04,4.9,4.09882225344317
307-072-01,1.39,1.631106700534363
307-074-01,5.08,4.804119299920741
307-076-01,4.64,4.612025117376386
307-077-01,4.82,4.862886900964007
307-078-02,4.88,4.8656601607623315
307-081-03,3.68,3.665349637721585
307-085-02,3.83,3.8005747741517633
307-101-07,2.74,2.7148048539772067
307-109-06,0.83,0.8209245011419277
307-110-01,0.25,0.26314588747605994
307-111-06,1.32,1.331154194013421
307-112-04,1.11,1.1063689715804799
307-113-06,1.95,1.936183592486848
307-117-01,1.88,1.914496230107957
307-120-04,2.38,2.4306195251815823
307-121-01,1.11,1.1146495392289846
307-122-01,3.23,3.2640726053359517
307-125-02,1.33,1.3369440684060998
307-125-02,1.33,1.3369440684060998
307-129-03,4.04,4.036483776512899
307-130-03,3.96,3.9831945770709036
307-132-02,2.91,2.880839506289778
307-133-02,3.82,3.8303849020253673
307-134-02,3.96,3.964118969890617
307-136-07,0.36,0.32771760837740427
307-137-06,0.97,1.0106104593691168
307-138-07,0.92,0.9512159616228995
307-139-10,1.25,1.264123469523733
307-141-11,1.46,1.4353600156062414
307-142-01,1.64,1.6208918708600453
307-144-04,1.55,1.5180010886987256
307-145-03,1.41,1.4263277100050624
307-147-02,2.07,2.0601605599295043
307-149-04,1.12,1.1099765990352561
307-151-01,3.05,3.005627295924617
307-154-02,2.34,2.340828376616591
307-156-01,2.61,2.621378425697303
307-158-03,0.77,0.7294729578101555
307-159-03,3.3,3.281019788965203
307-165-01,0.95,0.9602660623760557
307-166-01,0.9,0.8744592378291283
307-167-04,2.56,2.5631942889234636
307-174-01,1.98,2.4278316580376447
307-175-01,3.13,3.102596582891481
307-176-01,2.27,2.273527315577353
307-177-01,1.51,1.491709741776308
307-178-01,2.02,2.020215660752163
307-181-01,4.7,4.718226572493197
307-182-02,3.63,3.6287723249466564
307-187-03,3.9,3.8692207735790847
307-188-01,1.9,1.8814502985846921
307-191-03,1.36,1.34657820460676
307-192-01,2.27,2.2462932871722066
307-194-04,1.33,1.3327014208864312
307-195-05,3.95,3.9715398421002086
307-196-04,1.31,1.2770785862778191
307-200-08,0.81,0.7795603220420868
307-204-03,0.72,0.7069133533416685
307-205-02,2.73,2.6981629769813575
307-206-05,1.98,2.101608149728654
307-207-03,2.48,2.4759850244167065
307-209-04,3.3,3.3113546980954296
307-210-04,1.48,1.4884678106646247
307-211-03,2.11,2.1138896249583414
307-214-03,0.26,0.22624177896767783
307-215-01,4.8,3.3571755933581615
307-216-03,4.98,4.825887075534908
307-217-03,4.65,4.656302054275735
307-218-03,0.26,0.23232326411699722
307-219-01,3.84,3.8538729921694013
307-221-01,3.82,3.851036018200948
307-222-01,2.18,2.982545153789594
307-223-02,5.08,5.073586063629914
307-225-01,3.61,2.988591100282449
307-226-02,0.62,0.6237094454607899
307-232-01,4.65,4.6075433224785955
307-233-01,4.95,4.910463525366056
307-234-01,4.74,4.74182930712437
307-235-01,3.82,2.848505985123788
307-236-01,3.34,3.3254637282299537
307-239-01,3.72,3.705526735687029
307-240-01,3.84,3.8539739793111827
307-241-01,4.26,4.228873318661
307-242-01,4.18,4.1566965903415305
307-243-01,2.24,2.605219046755991
307-244-01,2.18,2.212863733557723
307-246-01,4.44,4.459105502991779
307-247-01,3.83,3.8091485896612736
307-248-01,3.39,3.404855934637677
307-249-01,3.11,3.0976539231709177
307-254-01,2.03,2.026042205731253
307-255-01,1.48,1.4969105590576572
307-257-01,1.35,1.3161180226729714
307-258-01,1.09,1.1298645082278846
307-259-01,1.27,1.2735191899723466
307-260-01,1.47,1.4449358244176884
307-261-01,1.23,1.2254585866351508
307-262-01,1.21,1.1780821079407855
307-263-01,1.65,1.6252539228312721
307-264-01,1.76,1.7354316684109357
307-265-01,1.66,1.6528587477088204
307-268-04,0.63,0.6391354919925805
307-269-02,3.36,3.3454005473116806
307-270-06,2.55,2.5596756474919085
307-272-01,1.92,2.1926394766308066
307-273-02,2.6,2.6185957753084317
307-274-02,2.27,2.2944659659166593
307-275-02,2.53,2.54223885392322
307-276-02,3.37,3.326353842162038
307-277-02,2.97,2.9325987359843473
307-289-03,2.33,2.4158396075200326
307-292-04,0.98,1.0003419876406126
307-293-01,2.38,2.3698133138005772
307-297-01,1.03,1.0143550510775023
307-298-01,1.0,0.9979503106321355
307-300-14,3.8,3.762731801852877
307-301-19,2.11,2.0936145676716333
307-302-05,1.96,1.9427134183726635
307-304-01,2.08,2.1028350603236317
307-305-01,3.92,3.9158641342000573
307-306-01,3.53,3.4886515044678563
307-307-02,3.7,3.670789784354863
307-309-02,3.6,3.575665284691278
307-310-03,2.58,2.554513609269775
307-311-02,2.43,2.462185703881566
307-313-01,2.3,2.2672678503356183
307-315-01,1.57,1.5958908349192589
307-334-02,3.01,3.0338607604712564
307-335-02,4.08,4.043483274363987
307-343-02,2.75,2.765794501442005
307-357-01,1.51,1.5200466237051584
307-500-05,2.15,2.1621592557771177
307-501-05,1.83,1.7953302459164568
307-503-06,1.11,1.1477256629553945
307-504-10,2.54,2.54247637889923
307-507-01,1.89,1.8582539895235748
307-508-05,0.85,0.9001429901184594
307-509-03,2.24,2.2244136764828197
307-510-01,1.54,1.5332850456934057
307-512-01,1.66,1.1163007658110118
307-513-08,0.38,0.4479239837670579
307-523-01,3.62,2.7632067952696886
307-524-01,1.71,1.746525712785207
307-525-01,2.29,2.298267500352701
307-526-01,0.99,1.301098307311582
307-528-05,1.45,1.4402550076179814
307-600-05,2.59,2.46220236025715
307-602-06,1.86,1.8643481551635581
307-603-02,2.61,2.646302652286386
307-604-01,1.5,1.5363287659846248
307-606-01,1.91,1.8954815009126404
307-608-02,2.69,2.4867284676679273
307-611-04,2.13,2.1123992987452915
307-612-02,0.78,0.8166468874471344
307-614-01,1.86,1.8362961600796894
307-615-02,1.95,1.9412360776057351
307-617-01,0.5,0.6546069493251387
307-900-OE,0.63,0.6159980882453522
307-901-OE,1.52,1.5690137395118353
307-902-OE,2.05,2.080228188259987
307-903-02,3.12,3.085008695701124
307-904-OE,1.75,1.7449796367780457
307-905-OE,2.91,2.898265812952201
307-906-OE,3.22,3.180050660793131
307-907-OE,2.38,2.384202419127867
307-908-OE,3.33,3.336183574371251
307-909-OE,1.88,1.8925818883478336
307-910-OE,2.02,2.0088683727604875
307-911-OE,2.35,2.365837553670274
307-912-09,0.6,0.6288822091372421
405-047-01,0.99,0.9749596246341814
407-009-03,2.92,2.8924249076838047
407-009-10,4.49,3.9416482703152265
407-010-01,3.77,3.7569249090330956
407-011-01,4.08,4.07472092298288
407-012-01,3.22,3.250734002930252
407-013-01,2.91,2.9280078422428306
407-014-01,4.19,4.043895944266189
407-015-01,4.28,4.26656311253674
407-016-01,3.96,3.974392769006266
407-017-02,3.81,3.4192334805693894
407-018-01,3.61,3.5787613939477714
407-020-01,3.16,3.196281436625176
407-021-02,3.81,3.8429789188185497
407-022-03,2.95,3.019879725484574
407-023-03,2.92,3.421129442154687
407-024-01,4.46,4.428332216591038
407-025-01,3.88,3.8970371761065983
407-026-01,2.99,3.091646850028289
407-030-20,3.1,3.396082900092678
407-033-01,1.03,1.062366400923684
407-043-10,2.96,2.9303269815809525
407-044-04,1.73,1.7157236087645482
407-046-02,3.12,3.1521374881227904
407-050-05,3.79,3.522297811946809
407-050-07,2.46,2.5004344107666574
407-051-05,2.63,2.608597002164312
407-052-05,3.02,3.009317909456847
407-053-05,3.19,3.2087497357178796
407-056-05,2.33,2.3215920063234305
407-057-05,2.48,2.4958336009657685
407-059-02,2.25,2.258277603954431
